label,figma_sync_slug,figma_tag,figma_path,theme_json_target,theme_json_value_type,theme_json_default_value,scss_target,scss_value_type,scss_default_value
VARIOUS,,,,,,,,,
Disabled opacity,disabled-opacity,RV disabled,,NULL,NULL,NULL,disabled-opacity,number,0.4
Container width,container-width,RV container width,containerWidth,custom.layout.contentSize,px,1440px,container-width,theme-json-var-ref,var(--wp--custom--layout--content-size)
BODY,,,,,,,,,
Body font family,body-font-family,RV body text,body.fontFamilyPrimary,typography:geist-mono,font-family,Geist Mono,body-font-family,theme-json-var-ref,var(--wp--preset--font-family--geist-mono)
Font family (secondary),font-family-secondary,RV font family secondary,body.fontFamilySecondary,typography:urbanist,font-family,Urbanist,font-family-secondary,theme-json-var-ref,var(--wp--preset--font-family--urbanist)
Body line height,body-line-height,RV body text,body.bodyLineHeightRatio,NULL,NULL,NULL,body-line-height,number,1.3
Body font weight,body-font-weight,RV body text,body.fontWeight,NULL,NULL,NULL,body-font-weight,number,400
Body letter spacing,body-letter-spacing,RV body text,body.letterSpacing,NULL,NULL,NULL,body-letter-spacing,string,0
BODY – MOBILE SIZES,,,,,,,,,
Body size mobile small,body-size-mobile-small,RV body size mobile small,paragraphSizes.mobile.small.fontSize,custom.font-size.mobile.bodySmall,px,12px,body-font-size-mobile-small,theme-json-var-ref,var(--wp--custom--font-size--mobile--body-small)
Body size mobile medium,body-size-mobile-medium,RV body size mobile medium,paragraphSizes.mobile.medium.fontSize,custom.font-size.mobile.bodyMedium,px,14px,body-font-size-mobile-medium,theme-json-var-ref,var(--wp--custom--font-size--mobile--body-medium)
Body size mobile large,body-size-mobile-large,RV body size mobile large,paragraphSizes.mobile.large.fontSize,custom.font-size.mobile.bodyLarge,px,16px,body-font-size-mobile-large,theme-json-var-ref,var(--wp--custom--font-size--mobile--body-large)
BODY – DESKTOP SIZES,,,,,,,,,
Body size desktop small,body-size-desktop-small,RV body size desktop small,paragraphSizes.desktop.small.fontSize,custom.font-size.desktop.bodySmall,px,16px,body-font-size-desktop-small,theme-json-var-ref,var(--wp--custom--font-size--desktop--body-small)
Body size desktop medium,body-size-desktop-medium,RV body size desktop medium,paragraphSizes.desktop.medium.fontSize,custom.font-size.desktop.bodyMedium,px,18px,body-font-size-desktop-medium,theme-json-var-ref,var(--wp--custom--font-size--desktop--body-medium)
Body size desktop large,body-size-desktop-large,RV body size desktop large,paragraphSizes.desktop.large.fontSize,custom.font-size.desktop.bodyLarge,px,20px,body-font-size-desktop-large,theme-json-var-ref,var(--wp--custom--font-size--desktop--body-large)
HEADING 1,,,,,,,,,
Heading 1 font family,heading-1-font-family,RV heading 1,NULL,NULL,NULL,NULL,heading-1-font-family,scss-ref,$font-family-secondary
Heading 1 font weight,heading-1-font-weight,RV heading 1,headings.desktop.0.fontWeight,NULL,NULL,NULL,heading-1-font-weight,number,700
Heading 1 line height,heading-1-line-height,RV heading 1,,NULL,NULL,NULL,heading-1-line-height,number,1.3
Heading 1 letter spacing,heading-1-letter-spacing,RV heading 1,,NULL,NULL,NULL,heading-1-letter-spacing,string,normal
Heading 1 text transform,heading-1-text-transform,RV heading 1,headings.desktop.0.textTransform,NULL,NULL,NULL,heading-1-text-transform,string,none
Heading 1 font size (mobile),heading-1-font-size-mobile,RV heading 1,headings.mobile.0.fontSize,custom.font-size.mobile.heading1,px,52px,heading-1-font-size-mobile,theme-json-var-ref,var(--wp--custom--font-size--mobile--heading-1)
Heading 1 font size (desktop),heading-1-font-size-desktop,RV heading 1,headings.desktop.0.fontSize,custom.font-size.desktop.heading1,px,96px,heading-1-font-size-desktop,theme-json-var-ref,var(--wp--custom--font-size--desktop--heading-1)
HEADING 2,,,,,,,,,
Heading 2 font family,heading-2-font-family,RV heading 2,NULL,NULL,NULL,NULL,heading-2-font-family,scss-ref,$font-family-secondary
Heading 2 font weight,heading-2-font-weight,RV heading 2,headings.desktop.1.fontWeight,NULL,NULL,NULL,heading-2-font-weight,number,700
Heading 2 line height,heading-2-line-height,RV heading 2,,NULL,NULL,NULL,heading-2-line-height,number,1.3
Heading 2 letter spacing,heading-2-letter-spacing,RV heading 2,,NULL,NULL,NULL,heading-2-letter-spacing,string,normal
Heading 2 text transform,heading-2-text-transform,RV heading 2,headings.desktop.1.textTransform,NULL,NULL,NULL,heading-2-text-transform,string,none
Heading 2 font size (mobile),heading-2-font-size-mobile,RV heading 2,headings.mobile.1.fontSize,custom.font-size.mobile.heading2,px,48px,heading-2-font-size-mobile,theme-json-var-ref,var(--wp--custom--font-size--mobile--heading-2)
Heading 2 font size (desktop),heading-2-font-size-desktop,RV heading 2,headings.desktop.1.fontSize,custom.font-size.desktop.heading2,px,82px,heading-2-font-size-desktop,theme-json-var-ref,var(--wp--custom--font-size--desktop--heading-2)
HEADING 3,,,,,,,,,
Heading 3 font family,heading-3-font-family,RV heading 3,NULL,NULL,NULL,NULL,heading-3-font-family,scss-ref,$font-family-secondary
Heading 3 font weight,heading-3-font-weight,RV heading 3,headings.desktop.2.fontWeight,NULL,NULL,NULL,heading-3-font-weight,number,700
Heading 3 line height,heading-3-line-height,RV heading 3,,NULL,NULL,NULL,heading-3-line-height,number,1.3
Heading 3 letter spacing,heading-3-letter-spacing,RV heading 3,,NULL,NULL,NULL,heading-3-letter-spacing,string,normal
Heading 3 text transform,heading-3-text-transform,RV heading 3,headings.desktop.2.textTransform,NULL,NULL,NULL,heading-3-text-transform,string,none
